pickup_date,trip_count,revenue,avg_fare_per_mile
2002-12-31,2,28.5,8.7302
2008-12-31,1,19.9,7.037
2009-01-01,4,144.85,8.6566
2023-12-31,10,224.62,9.1088
2024-01-01,79595,2472436.66,13.0612
2024-01-02,74335,2308171.17,11.4766
2024-01-03,81212,2385715.61,11.3833
2024-01-04,101506,2831656.92,11.4784
2024-01-05,101757,2758372.13,10.6347
2024-01-06,95715,2462898.35,12.2701
2024-01-07,66501,1924219.64,13.738
2024-01-08,78901,2240846.79,10.7773
2024-01-09,92758,2385560.49,10.8229
2024-01-10,93900,2574270.96,12.0322
2024-01-11,103712,2934260.9,11.5882
2024-01-12,102337,2889662.6,10.7805
2024-01-13,103315,2679083.28,11.7513
2024-01-14,93056,2486302.54,11.4817
2024-01-15,76030,2187601.17,11.953
2024-01-16,91922,2657739.5,12.9316
2024-01-17,108984,3007020.37,11.0866
2024-01-18,109013,2971085.42,11.2229
2024-01-19,94648,2505492.64,10.9558
2024-01-20,107250,2644302.36,11.4261
2024-01-21,83236,2291509.47,12.1809
2024-01-22,84444,2387024.01,11.746
2024-01-23,98600,2662309.69,11.1361
2024-01-24,103806,2817276.42,11.5186
2024-01-25,108931,3031225.22,11.877
2024-01-26,104323,2842675.88,11.9587
2024-01-27,108938,2740725.02,11.038
2024-01-28,91400,2461305.6,11.514
2024-01-29,83422,2363213.78,10.8511
2024-01-30,100015,2666947.26,10.5873
2024-01-31,100854,2711023.65,11.1443
2024-02-01,108594,3005796.69,10.7371
2024-02-02,104084,2791239.82,11.3614
2024-02-03,109111,2696228.71,10.721
2024-02-04,86818,2403013.22,11.1849
2024-02-05,87248,2438606.35,10.806
2024-02-06,100840,2729969.51,11.6114
2024-02-07,101672,2856371.88,11.3784
2024-02-08,112575,3162293.02,11.6358
2024-02-09,108946,3017242.84,11.4534
2024-02-10,110024,2802456.38,10.6468
2024-02-11,95174,2605131.17,11.6633
2024-02-12,90761,2550944.11,11.1562
2024-02-13,68066,1733650.15,10.3234
2024-02-14,120073,3210484.39,11.3032
2024-02-15,121172,3283705.49,10.9307
2024-02-16,104158,2930972.51,12.4393
2024-02-17,103941,2623876.91,12.1189
2024-02-18,92138,2471562.36,12.1639
2024-02-19,74902,2220885.25,12.8383
2024-02-20,95800,2703162.73,10.9445
2024-02-21,102184,2783397.78,11.2607
2024-02-22,114062,3177723.91,10.7128
2024-02-23,100974,2790588.74,11.4421
2024-02-24,116051,2938064.3,11.6633
2024-02-25,94193,2620304.21,12.348
2024-02-26,85018,2559437.29,11.3682
2024-02-27,116786,3148617.07,10.4511
2024-02-28,110907,3092381.82,11.0271
2024-02-29,127985,3572695.7,10.7
2024-03-01,115758,3177527.26,11.5029
2024-03-02,120318,3068398.16,11.6126
2024-03-03,95384,2726984.96,11.9875
2024-03-04,92783,2682286.19,10.6603
2024-03-05,110975,3061173.04,11.5558
2024-03-06,130934,3575552.34,11.5002
2024-03-07,120423,3376052.44,11.2146
2024-03-08,117649,3269260.47,11.4593
2024-03-09,137966,3461418.82,12.3926
2024-03-10,102493,2897525.49,12.4669
2024-03-11,96790,2803038.61,11.0915
2024-03-12,110511,3156926.75,11.3131
2024-03-13,117914,3345926.37,10.7518
2024-03-14,134989,3867352.87,11.1306
2024-03-15,126519,3550335.91,11.8994
2024-03-16,128813,3432735.45,11.961
2024-03-17,101375,3012955.64,13.4445
2024-03-18,93549,2792751.59,10.9346
2024-03-19,109892,3088069.91,11.1365
2024-03-20,117121,3287384.9,11.462
2024-03-21,128592,3609102.07,11.3873
2024-03-22,114759,3236332.93,11.9273
2024-03-23,119457,3050341.44,12.7797
2024-03-24,99884,2919655.65,11.2061
2024-03-25,91727,2720771.82,11.485
2024-03-26,110743,3105962.73,10.732
2024-03-27,119181,3362316.56,11.4349
2024-03-28,130178,3757833.02,13.1616
2024-03-29,117381,3237440.5,10.8172
2024-03-30,110373,2861888.19,12.1879
2024-03-31,96346,2727655.84,11.7087
2024-04-01,2,107.87,4.6169
